"time_s1.0"	"time_b1.0"	"time_s1.1"	"time_b1.1"	"mean_conntime"	"stdev_conntime"	"mean_reqtime"	"stdev_reqtime"	"time_addit"	"ser_1.1"	"burst_1.1"	"getall"	"http_vers"	"conn_b1.1"	"conn_s1.1"	"servers"	"size"	"retrieved"	"objects"	"size_ob1"
6.584	5.026	4.768	2.688	0.229	0.051	0.256	0.042	0.267	4.58	2.47	2.906	1.1	1	1	1	56996	8	8	3391
0.583	0.609	0.431	0.436	0.105	0.005	0.115	0.002	0.143	0.331	0.349	0.523	1.1	1	1	3	3525	2	4	3338
1.208	1.221	0.967	0.7	0.09	0.023	0.261	0.139	0.035	0.908	0.639	0.761	1.1	1	1	1	7941	3	3	1727
0.413	0.221	0.446	0.205	0.026	0.012	0.061	0.012	0	0.421	0.173	0.237	1.1	1	1	1	6492	4	4	1366
30.651	6.136	14.224	6.909	0.333	0.709	0.194	0.064	3.532	13.987	6.737	7.081	1.1	1	1	2	82414	42	49	31508
2.259	1.43	1.093	0.971	0.121	0.021	0.116	0.003	0.347	0.992	0.866	1.076	1.1	1	1	2	27812	4	8	6723
14.338	5.865	6.872	13.533	0.502	0.908	0.277	0.018	0.622	6.605	13.279	13.787	1.1	10	2	2	51115	15	16	10260
24.695	5.193	29.811	19.956	0.627	0.882	1.165	1.215	4.008	29.473	19.821	20.091	1.1	1	2	4	72831	10	14	22300
17.467	5.655	7.216	4.081	0.147	0.055	0.137	0.048	0.462	7.123	3.965	4.197	1.1	2	2	2	176316	45	46	24465
2.207	0.884	1.393	3.05	0.038	0.02	0.038	0.023	0.092	1.351	3.019	3.081	1.1	1	1	1	66250	22	22	9758
4.986	5.181	2.87	1.705	0.039	0.026	0.054	0.021	0.184	2.809	1.677	1.733	1.1	2	2	2	67080	48	50	16110
10.16	5.268	1.645	1.351	0.289	0.057	1.573	1.814	0	1.424	1.021	1.681	1.1	1	1	1	10090	5	5	1251
3.362	3.475	2.626	1.024	0.074	0.03	0.09	0.029	0.13	2.564	0.969	1.079	1.1	1	1	1	53840	13	13	4862
11.951	6.324	36.173	33.792	0.243	0.038	0.301	0.237	0.5	36.063	33.529	34.055	1.1	1	2	3	42741	20	22	12006
12.959	1.061	1.948	0.677	0.306	1.256	0.042	0.028	0.088	1.924	0.639	0.715	1.1	2	1	1	94939	24	24	7843
9.928	6.102	4.326	2.18	0.151	0.063	0.159	0.061	3.389	4.15	1.991	2.369	1.1	1	1	1	70936	18	18	14444
2.885	1.027	1.766	0.75	0.051	0.024	0.061	0.021	0.09	1.704	0.701	0.799	1.1	1	1	1	34034	23	23	5761
5.375	1.885	20.021	17.432	0.109	0.026	0.129	0.024	0.399	19.917	17.313	17.551	1.1	1	2	1	65523	15	15	9054
19.273	4.141	22.545	18.78	0.257	0.054	0.344	0.396	0.501	22.358	18.636	18.924	1.1	1	2	1	72552	19	19	6329
15.628	4.938	24.917	19.615	0.21	0.025	0.229	0.021	0.458	24.691	19.418	19.812	1.1	1	2	1	64116	32	32	11944
34.641	16.93	13.808	13.073	0.171	0.057	5.398	0.392	0.274	13.74	12.938	13.208	1.1	2	2	1	58462	6	6	8583
4.767	1.664	4.906	0.985	0.128	0.028	0.13	0.035	0.253	4.769	0.87	1.1	1.1	1	1	1	52475	14	14	6625
3.058	1.055	3.025	0.638	0.069	0.053	0.079	0.034	0.252	2.993	0.588	0.688	1.1	1	1	1	34620	17	17	8954
2.081	1.478	1.588	1.278	0.251	0.013	0.324	0.026	0	1.262	0.953	1.603	1.1	1	1	1	12346	3	3	817
5.147	0.827	1.073	0.683	0.094	0.019	0.697	0.914	0.083	0.966	0.583	0.783	1.1	1	1	1	17935	6	6	3711
2.263	1.698	49.264	18.415	0.111	0.007	0.137	0.058	0.144	49.163	18.319	18.511	1	2	2	1	28121	5	5	2068
