Agricultural land (sq. km)	Arable land (hectares)	Arable land (hectares per person)	Land under cereal production (hectares)	Permanent cropland (% of land area)	Land area (sq. km)	Cereal production (metric tons)	Surface area (sq. km)	Income payments (BoP, current US$)	Imports of goods and services (BoP, current US$)	Insurance and financial services (% of service imports, BoP)	Goods imports (BoP, current US$)	Service imports (BoP, current US$)	Royalty and license fees, payments (BoP, current US$)	Imports of goods, services and income (BoP, current US$)	Foreign direct investment, net outflows (% of GDP)	Private current transfers, payments (BoP, current US$)	Workers' remittances and compensation of employees, paid (current US$)	Current account balance (BoP, current US$)	Net income (BoP, current US$)	Net trade in goods and services (BoP, current US$)	Net trade in goods (BoP, current US$)	Net errors and omissions, adjusted (BoP, current US$)	Foreign direct investment, net (BoP, current US$)	Private capital flows, total (BoP, current US$)	Portfolio investment, excluding LCFAR (BoP, current US$)	Changes in net reserves (BoP, current US$)	Net current transfers (BoP, current US$)	Net capital account (BoP, current US$)	ICT service exports (BoP, current US$)	ICT service exports (% of service exports, BoP)	Income receipts (BoP, current US$)	Exports of goods and services (BoP, current US$)	Insurance and financial services (% of service exports, BoP)	Goods exports (BoP, current US$)	Service exports (BoP, current US$)	Royalty and license fees, receipts (BoP, current US$)	Exports of goods, services and income (BoP, current US$)	Foreign direct investment, net inflows (BoP, current US$)	Foreign direct investment, net inflows (% of GDP)	Profit remittances on FDI (current US$)	Portfolio equity, net inflows (BoP, current US$)	Workers' remittances and compensation of employees, received (current US$)	Workers' remittances and compensation of employees, received (% of GDP)	Market capitalization of listed companies (current US$)	Listed domestic companies, total	Stocks traded, total value (current US$)	Stocks traded, turnover ratio (%)	Income
45960	782000	0.123407616	412366	0.700200057	139960	866197	142550	71234200	1147264800	7.422916062	1025731700	121533100	201300	1218499000	NaN	67030300	64440597.53	-4763700	-70301800	-152540100	-119533500	-29993500.39	31649700	31993000	343300	-43174699.61	218078200	13870000	10381100	11.72654516	932400	994724700	1.971500059	906198200	88526500	912400	995657100	31649700	2.03649571	720600	343300	146024398.8	9.395920394	NaN	NaN	NaN	NaN	0
324650	1700000	0.365755634	963000	0.138318473	469930	2667000	488100	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	226000000	3.780882417	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
300	15000	0.15051325	NaN	15.27777778	720	NaN	750	4303889.186	121530515.9	4.75234082	86054711.45	35475804.45	NaN	125834405.1	NaN	8826384.528	9804995.537	-10653624.9	2906066.24	-76809458.13	-66763590.01	-13868118.71	3375150.697	3375150.697	NaN	7790810.131	63249766.99	8258890.617	NaN	NaN	7209955.426	44721057.77	0.023610765	19291121.44	25429936.33	NaN	51931013.2	3375150.697	1.626757991	0	NaN	60394313.81	29.10890251	NaN	NaN	NaN	NaN	1
600	30000	0.02296976	1750	4.483430799	5130	4675	5130	759100000	4283100000	0.026925148	3911700000	371400000	NaN	5042200000	2.004279025	38400000	NaN	984700000	-680900000	1607000000	1293200000	94033118.39	583100000	73900000	-509200000	-321433118.4	58600000	NaN	NaN	NaN	78200000	5890100000	15.79100992	5204900000	685200000	NaN	5968300000	808300000	7.1938665	NaN	NaN	86800003.05	0.772519651	10604560000	35	403850000	4.720598102	3
97840	2790000	0.283542348	1297833	13.77445932	155360	2326436	163610	1180092488	11908805743	6.836783823	10296801733	1612004010	6208970.669	13088898231	0.005088748	29182162.14	17152280.81	-730485399.2	-956414319.4	-944539663	-2269378780	-47335445.27	539481939	553452123	13970184.01	-382558161.4	1170468583	58985221.36	28716489.34	0.977801268	223678168.4	10964266080	2.563424947	8027422954	2936843126	17850790.67	11187944249	540878957.4	1.970193724	537075962.9	13970184.01	1250253906	4.554147218	2464210000	46	164040000	7.139064662	2
406440	23372000	0.352309312	13406000	3.449709601	769630	30806800	783560	7803000000	73385000000	13.27645961	65883000000	7502000000	167000000	81188000000	0.158413069	NaN	NaN	-7515000000	-5557000000	-2978000000	-13489000000	4440111120	1222000000	3687000000	2465000000	-4087111120	1020000000	NaN	NaN	NaN	2246000000	70407000000	2.786876145	52394000000	18013000000	NaN	72653000000	1702000000	0.561706341	643000000	905000000	729000000	0.240589849	68379200000	284	99610660000	194.6714967	2
10	NaN	NaN	NaN	33.33333333	30	NaN	30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10000	0.053682212	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
347210	9470000	0.257418932	4781553	1.412282682	885800	4102473	947300	281700328	2659158998	5.736096981	1933462631	725696366.5	700000	2940859326	NaN	58214000	27101499.56	-174205033.4	-194607428	-490549900.9	-712612204.6	-339820725.3	318401298.7	321803690.1	3402391.418	-451768301	510952295.5	692774728.3	20459079.18	2.158680245	87092900	2168609097	2.521738999	1220850427	947758670.2	NaN	2255701997	364258864.6	3.124237146	59700000	2700000	8899999.619	0.076335025	658774136.2	6	19758115.46	2.892549949	0
131120	5850000	0.219581184	1495000	10.76022221	199810	2508000	241550	170775476.5	1563686485	8.683867084	1197471518	366214967.1	7947510.95	1734461962	NaN	134453332.9	181806182.9	-97226676.51	-143212357.4	-729679797.2	-625253782.6	-164087213.5	202192593.6	218210261.4	16017667.79	-119661304.4	775665478.1	60959086.12	17358988.34	6.630909432	27563119.1	834006688.3	3.727621818	572217735.8	261788952.5	589212	861569807.4	202192593.6	3.190820333	82593750	0	298785186.8	4.715157129	47000000	3	0	0	0
413550	32480000	0.679313868	10633600	1.565574619	579340	19662400	603550	835000000	27665000000	14.42394239	23221000000	4444000000	292000000	28500000000	0.025931048	48000000	29000000	2891000000	-581000000	1288000000	518000000	-834435430.1	1411000000	2278000000	867000000	-2247564570	2184000000	-20000000	100000000	1.91791331	254000000	28953000000	0.652090526	23739000000	5214000000	14000000	29207000000	1424000000	2.840447064	90000000	84000000	330000000	0.658249671	4302880000	149	105590000	2.845221206	1
