Variables	Terms	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Node degree	Yingcai Wu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	6	0	2	8	11	0	6
Node degree	Tim Dwyer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	2	0	5	6	1	0	0	3	0	6	14
Node degree	Carlos D. Correa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	6	6	3	2	0	0	0	0	0
Node degree	Ross T. Whitaker	0	6	0	0	0	0	0	0	0	0	0	0	6	6	4	0	0	5	4	5	3	0	0	2	2	0	0
Node degree	Amitabh Varshney	0	0	0	1	0	8	4	1	0	2	0	0	0	0	2	0	1	0	0	0	0	1	2	0	3	0	0
Node degree	Aidan Slingsby	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	2	3	5	14	4	2	5
Node degree	Roni Yagel	3	2	0	1	3	3	9	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	David C. Banks	0	0	0	0	1	0	7	3	4	5	0	2	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0
Node degree	Wolfgang Stra��er	0	0	0	2	0	0	2	0	0	7	1	2	4	8	0	2	0	0	0	0	0	0	0	0	0	0	0
Node degree	Anders Ynnerman	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	3	0	0	4	6	3	0	3	10	1
Node degree	Jing Yang 0001	0	0	0	0	0	0	0	0	0	0	0	0	2	3	5	0	9	12	4	0	2	4	0	0	0	0	0
Node degree	Zhicheng Liu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	2	4	4	0	0	1	0	10
Node degree	Wenwen Dou	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	10	7	4	4	0	6	0
Node degree	Lloyd Treinish	0	0	16	1	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	James J. Thomas	0	0	0	0	0	6	0	0	3	2	6	0	0	8	9	5	4	3	0	6	0	0	0	0	0	0	0
Node degree	Markus H. Gross	0	0	0	0	0	2	0	4	4	0	3	4	2	2	0	4	0	0	0	0	0	0	0	0	0	0	0
Node degree	Ronald Peikert	0	0	0	0	0	0	1	0	1	1	0	0	3	2	2	6	2	1	0	3	0	0	7	0	0	0	0
Node degree	Elke A. Rundensteiner	0	0	0	0	0	0	0	0	0	2	0	0	2	5	6	0	5	2	0	2	0	3	0	0	0	0	0
Node degree	Martin Wattenberg	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	4	2	4	0	0	0	0	1	0	0
Node degree	Maneesh Agrawala	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	1	2	3	0	5	0	1	4	3	0	0
Node degree	Harald Piringer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	5	4	7	0	7
Node degree	Enrico Bertini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	17	6	0	21	0	2
Node degree	Silvia Miksch	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	7	4	16	6
Node degree	Frank van Ham	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	2	4	1	3	0	0	0	0	0	0	0
Node degree	Tobias Isenberg 0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	4	0	9	4	0	6	7
Node degree	Timo Ropinski	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	2	3	7	0	0	14	5
Node degree	Alex Endert	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5	2	0	6	12	10
Node degree	Nelson L. Max	0	0	4	2	2	2	0	0	0	0	0	0	0	4	0	11	0	0	0	0	0	0	0	0	0	0	0
Node degree	Robert van Liere	0	0	0	1	0	0	0	0	2	6	6	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Node degree	Victoria Interrante	0	0	0	0	0	2	2	2	4	4	0	0	0	6	6	0	0	3	0	0	0	0	0	0	0	0	0
Node degree	Ming C. Hao	0	0	0	0	0	0	0	0	0	4	0	4	0	0	3	3	0	4	0	8	7	6	10	0	0	0	0
Node degree	Umeshwar Dayal	0	0	0	0	0	0	0	0	0	4	0	4	0	0	3	3	0	4	0	8	7	6	10	0	0	0	0
Node degree	Michael Gleicher	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	1	1	2	0	2	0	3	5	0	1
Node degree	Miriah D. Meyer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	2	3	0	2	0	3	4	6
Node degree	Pierre Dragicevic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	3	2	5	4	0	4
Node degree	Steffen Koch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6	6	3	7	9	5	4
Node degree	Alan M. MacEachren	0	0	0	0	0	0	0	0	3	0	4	2	0	4	0	0	5	6	9	2	1	7	5	0	0	0	0
Node degree	Robert Michael Kirby	0	0	0	0	0	0	0	0	0	2	5	6	0	0	2	0	0	2	4	4	0	2	3	2	2	0	0
Node degree	Xiaoyu Wang	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	4	4	13	6	0
Node degree	Christopher R. Johnson 0001	0	0	3	0	1	1	3	0	0	0	2	0	0	13	6	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	Filip Sadlo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	1	0	0	0	0	2	2	8	0	5
Node degree	Stephen G. Eick	3	0	1	1	0	1	0	1	0	0	0	0	1	0	4	0	2	5	0	0	0	0	0	0	0	0	0
Node degree	William E. Lorensen	0	3	3	4	2	0	7	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	William J. Schroeder	0	2	3	0	2	0	2	1	2	3	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0
Node degree	Dinesh Manocha	0	0	0	0	0	4	0	2	1	0	4	0	1	5	3	0	0	2	4	0	0	0	0	0	0	0	0
Node degree	Patricia Crossno	0	0	0	0	0	0	6	1	0	1	0	1	2	0	3	6	0	9	0	2	0	0	0	0	0	0	0
Node degree	Rainer Wegenkittl	0	0	0	0	0	0	0	2	0	0	6	7	13	3	5	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	Alexandru Telea	0	0	0	0	0	0	0	0	0	1	5	1	0	1	6	3	0	0	0	0	0	4	0	0	0	0	3
Node degree	Danyel Fisher	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	6	6	7	0	0	5	0	0	3
Node degree	Hamish Carr	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	8	0	2	0	5	0	0	6	5
Node degree	Tino Weinkauf	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	5	0	3	3	0	1	0	0	0	8	0	0
Node degree	Ivan Viola	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	4	3	0	0	0	3	3	0	4	3	3
Node degree	Xianfeng Gu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	5	4	4	4	3	0	9	0	0	3
Node degree	Christopher Collins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	4	0	0	3	3	6	0	4
Node degree	Caroline Ziemkiewicz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	1	0	8	5	7	0	3	5	0
Node degree	Marc Streit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	8	11	0	11
Node degree	Frits H. Post	0	0	0	1	0	3	5	0	4	0	0	0	0	4	0	4	5	0	2	5	7	0	0	0	0	0	0
Node degree	Jian Huang	0	0	0	0	0	0	0	0	0	0	3	3	0	3	3	4	3	0	4	0	6	0	0	3	7	0	0
Node degree	Yun Jang	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	12	0	1	0	0	10	0	8	0	0
Node degree	Weiwei Cui	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	6	7	5	0	3	0	9
Node degree	Hendrik Strobelt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	0	13	8	13
Node degree	Jaegul Choo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	3	0	13	9
Node degree	Lambertus Hesselink	1	0	1	2	1	0	0	2	2	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	Wim C. de Leeuw	0	0	0	1	0	1	0	0	2	1	5	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Node degree	Michelle X. Zhou	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	2	0	2	0	5	0	4	0	3	0	0
Node degree	Ming Wan	0	0	0	0	0	0	0	8	0	5	8	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	Renato Pajarola	0	0	0	0	0	0	0	0	0	2	1	0	3	0	2	0	0	0	0	0	0	10	0	0	0	0	0
Node degree	E. Wes Bethel	0	0	0	0	0	0	0	0	4	0	0	0	0	11	0	3	4	3	3	0	0	0	18	0	0	0	0
Node degree	Heidrun Schumann	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	2	3	6	0	8	0
Node degree	Robert Kosara	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	10	4	0	2	1	0	0	0	0	0
Node degree	David Gotz	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	1	2	5	3	1	0	3	0	0
Node degree	Ye Zhao	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	3	0	0	2	0	0	4	0	0	11	0	9
Node degree	Michael J. McGuffin	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	0	2	0	1	3	0	0	3	0	0	0
Node degree	Kim Marriott	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	3	3	0	6	10
Node degree	Alexander Lex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	8	9	0	0
Node degree	Michael Sedlmair	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	6	7	0	11
Node degree	Fanny Chevalier	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3	5	2	0	7
Node degree	Kelly P. Gaither	0	0	0	0	0	0	10	0	0	0	0	0	0	0	10	3	0	0	2	0	0	0	0	0	13	0	0
Node degree	Wei Chen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	25	0	14
Node degree	Lichan Hong	0	0	0	0	7	5	3	8	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Node degree	Dieter Schmalstieg	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	9	0	10	6	0	0
Node degree	Song Zhang 0004	0	0	0	0	0	0	0	0	0	0	0	9	0	0	8	0	0	0	0	13	5	0	0	0	0	4	0
Node degree	Mark A. Whiting	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	5	5	5	13	0	0	0	0	0	2	0
Node degree	Jean Scholtz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	8	0	0	0	0	0	2	0
Node degree	Luis Gustavo Nonato	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	4	5	0	0	4	5
Node degree	Cagatay Turkay	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	4	2	8
Node degree	Bum Chul Kwon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	5	11	7
Node degree	R. Daniel Bergeron	0	2	0	0	0	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	Taosong He	0	0	0	1	7	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	Samuel P. Uselton	0	0	0	0	5	0	0	4	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	Chris Shaw 0002	0	0	0	0	0	0	5	0	0	3	0	0	0	3	0	0	0	2	0	7	3	0	0	0	0	0	0
Node degree	J. Edward Swan II	0	0	0	0	0	0	0	5	13	7	7	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0
Node degree	Paolo Cignoni	0	0	0	0	0	0	0	0	3	0	4	0	0	6	0	5	2	0	0	0	2	3	0	0	0	0	0
Node degree	George G. Robertson	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	5	4	6	6	0	0	0	0	0	0	0
Node degree	Chaomei Chen	0	0	0	0	0	0	0	0	0	1	0	0	0	1	4	6	3	0	9	2	0	0	0	0	0	0	0
Node degree	Martin Hering-Bertram	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	4	6	10	0	0	0	0	0	0	0	0	0
Node degree	Helmut Doleisch	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	5	5	4	0	3	5	0	0	0	0
Node degree	Jing Hua	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	6	0	3	0	1	2	0	3
Node degree	Marcus A. Magnor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	6	4	3	6	0	0	4	0
Node degree	Vijay Natarajan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	6	0	0	0	1	0	3	1	0	0
Node degree	Denis Gracanin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	8	3	5	0	0	0	6	5	0
Node degree	Attila Gyulassy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	6	3	3	0	0	2	0	4	7	0
Node degree	Adam Perer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	5	0	0	4	0	0
Node degree	Justin Talbot	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	2	2	2	0	2	1	0
Node degree	Heike Leitte	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	3	5	0	2	0	0	5	0
Node degree	Anastasia Bezerianos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	3	4	4	4	0	2
Node degree	Tatiana von Landesberger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3	5	10	0	4	5	0
Node degree	Lane Harrison	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	2	0	3	0	9
Node degree	Hanqi Guo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	3	11	5	0
Node degree	Jian Zhao	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	8	0	7
Node degree	Kai Lawonn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	13
Node degree	Ed Huai-hsin Chi	0	0	0	0	0	5	5	3	1	1	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0
Node degree	Issei Fujishiro	0	0	0	0	0	2	0	3	0	2	3	0	3	0	3	3	0	0	0	2	0	0	0	0	0	0	0
Node degree	Christopher G. Healey	0	0	0	0	0	0	0	3	1	0	0	1	1	0	0	1	0	3	0	0	0	0	0	0	0	2	0
Node degree	Stephen C. North	0	0	0	0	0	0	0	0	0	3	0	0	3	4	2	0	3	4	0	0	0	0	0	0	0	3	7
Node degree	Oliver Deussen	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	2	0	0	5	0	0	3	0	5	0	5
Node degree	Juliana Freire	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	4	4	0	6	0	4	4	0	0
Node degree	Wei Chen 0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	20	0	0	5	0	0	0	3
Node degree	Robert S. Laramee	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	5	0	0	0	5	0	13	0	0	0	0	0
Node degree	William Wright	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	7	7	0	0	0	0	0	0	0	0
Node degree	Thomas Schultz 0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	1	0	9	0
Node degree	Halld�_r Janetzko	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	7	6	10	0	5	0	0
Node degree	Henry Fuchs	0	6	0	0	7	2	5	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	Michael J. Bailey	0	2	1	0	0	0	0	2	3	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	F. David Fracchia	0	0	0	0	2	4	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	Roberto Scopigno	0	0	0	0	2	0	0	0	3	0	4	0	0	6	0	5	0	0	0	0	0	3	0	0	0	0	0
Node degree	Steven F. Roth	0	0	0	0	0	3	8	2	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	Mark A. Duchaineau	0	0	0	0	0	0	0	5	0	0	5	5	4	0	2	0	0	6	0	0	0	0	0	0	0	0	0
Node degree	Baoquan Chen	0	0	0	0	0	0	0	2	0	4	0	1	0	0	1	3	0	0	0	0	2	0	0	0	0	0	0
Node degree	Hong Qin	0	0	0	0	0	0	0	2	0	0	0	0	0	7	2	3	0	5	4	0	0	0	0	0	0	0	0
Node degree	Jonathan D. Cohen	0	0	0	0	0	0	0	2	0	0	1	2	0	0	2	2	0	3	0	0	0	0	0	0	0	0	0
Node degree	Harlan Foote	0	0	0	0	0	0	0	0	3	0	6	0	0	4	0	5	4	0	0	5	0	0	0	0	0	0	0
Node degree	Michael Garland	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0	2	0	3	0	0	0	0	0	0	0	0
Node degree	T. J. Jankun-Kelly	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	1	0	0	3	0	0	0	0	0	0	0
Node degree	Aditi Majumder	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	2	0	3	4	0	0	0	0	0	0
Node degree	Daniel F. Keefe	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	3	0	0	0	7	7	0	0
Node degree	Armin Kanitsar	0	0	0	0	0	0	0	0	0	0	0	5	13	4	2	0	0	3	0	0	0	0	0	0	0	0	0
Node degree	J̦rn Schneidewind	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	0	4	4	0	6	0	0	0	0	0	0	0
Node degree	Ulrik Brandes	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	1	4	0	0	0	5
Node degree	Aidong Lu	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	1	0	4	0	0	4	2	0	0	0	0
Node degree	Jimmy Johansson	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	3	0	0	2	0	0	1	3
Node degree	Anushka Anand	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	2	0	2	6	0
Node degree	Brian D. Fisher	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	1	2	3	0	0	0	0
Node degree	Johanna Beyer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	3	5	9	0	0
Node degree	Aaron Knoll	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	5	0	0	10	11
Node degree	Harald Bosch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	0	6	8	7	0	0	0
Node degree	Nan Cao	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	5	0	5	0	11
Node degree	Michael Burch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	3	0	2	0	5
Node degree	Bilal Alsallakh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	4	12	1
Node degree	Bernice E. Rogowitz	0	0	0	1	0	2	0	3	0	3	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Node degree	Chandrajit L. Bajaj	0	0	0	0	1	0	0	2	2	2	2	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	Daniel G. Aliaga	0	0	0	0	0	0	0	1	3	0	0	2	3	0	0	1	0	0	0	0	2	0	0	0	0	0	0
Node degree	James P. Ahrens	0	0	0	0	0	0	0	4	4	0	0	0	0	7	4	0	0	0	0	4	0	7	0	0	0	5	0
Node degree	Alireza Entezari	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	1	0	2	0	0	1	0	1	0	2	0
Node degree	Fernanda B. Vi̩gas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	1	4	0	0	0	0	0	0	0
Node degree	Peter Bak	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	12	0	0	0	4	0	3	0
Node degree	Christophe Hurter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8	0	0	0	3	4
Node degree	Nahum D. Gershon	0	0	3	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	David A. Lane	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	Steve Bryson	0	1	0	0	0	0	3	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	Ken Brodlie	0	0	0	5	0	0	2	2	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	Daniel Cohen-Or	0	0	0	0	0	0	3	2	0	2	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	Yarden Livnat	0	0	0	0	0	0	5	0	4	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0
Node degree	Stuart K. Card	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0
Node degree	Elizabeth G. Hetzler	0	0	0	0	0	0	0	0	3	0	2	6	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0
Node degree	Huub van de Wetering	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	5	0	4	0	3	0
Node degree	Peter Hastreiter	0	0	0	0	0	0	0	0	0	3	4	4	0	0	0	8	5	0	0	0	0	0	0	0	0	0	0
Node degree	Gordon Erlebacher	0	0	0	0	0	0	0	0	0	0	2	2	4	2	0	3	0	0	0	0	0	0	0	0	0	0	0
Node degree	Ingrid Hotz	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	8	0	0	0	6	0	0	0	0	0
Node degree	Joe Michael Kniss	0	0	0	0	0	0	0	0	0	0	0	2	3	6	0	5	0	3	0	0	0	0	0	0	0	0	0
Node degree	Dominik Fleischmann	0	0	0	0	0	0	0	0	0	0	0	5	13	3	6	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	Mike Sips	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0	4	0	3	0	0
Node degree	Jinwook Seo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	7	0	0	0	4	0	5
Node degree	John Keyser	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	2	2	2	0	0	0	0	0	0
Node degree	Alexander Wiebel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	4	0	4	0	3	0	0	0	0
Node degree	Anthony C. Robinson	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	9	0	0	7	0	0	0	0	0
Node degree	Ji Soo Yi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	4	4	0	8	0
Node degree	Fernando Vieira Paulovich	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	8	0	0	4	0	0
Node degree	Daniela Oelke	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	9	3	0	0	0	0	4	0
Node degree	Philipp Muigg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	7	0	3	0	0	0	0	0
Node degree	J̦rn Kohlhammer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	4	4	5	0	0	0
Node degree	Jian Chen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	4	0	6	4
Node degree	Jurgen Waser	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	6	11	0	6	0	0
Node degree	Naren Ramakrishnan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	7	0	2	0	0
Node degree	Dirk J. Lehmann	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	7	1	0	1	0
Node degree	Harish Doraiswamy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	7	7
Node degree	Robert Haimes	0	1	0	0	0	0	0	1	0	5	0	0	0	0	1	0	0	0	0	0	0	2	3	0	0	0	0
Node degree	Theresa-Marie Rhyne	0	0	11	0	4	0	0	0	0	4	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	Donna L. Gresh	0	0	5	0	0	0	0	0	0	3	4	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	David N. Kenwright	0	0	1	0	0	1	2	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	Hans-Georg Pagendarm	0	0	0	0	1	1	1	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	Benjamin B. Bederson	0	0	0	0	4	0	0	0	0	1	0	0	2	0	3	0	3	0	0	0	0	0	0	0	0	2	0
Node degree	Ayellet Tal	0	0	0	0	1	0	2	1	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Node degree	Patrick J. Moran	0	0	0	0	1	0	0	0	0	1	0	0	0	1	2	0	4	0	0	0	0	1	0	0	0	0	0
Node degree	Alan Keahey	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	Jock D. Mackinlay	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	6	0	2	3	0	0	0	0	0	0	5	0
Node degree	Chris Stolte	0	0	0	0	0	0	0	0	0	3	1	0	2	2	0	0	0	2	3	0	0	0	0	0	0	0	0
Node degree	Patric Ljung	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	3	4	3	0	0	4	0	0	0	0	0	0
Node degree	Colin Ware	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	1	2
Node degree	Jens H. Kr�_ger	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	2	0	0	0	0	0	3	0	0
Node degree	Ravin Balakrishnan	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	3	3	3	0	0	0
Node degree	Chi-Wing Fu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	3	4	0	0	0	4	0	0
