Water pollution, clay and glass industry (% of total BOD emissions)	Water pollution, chemical industry (% of total BOD emissions)	Water pollution, food industry (% of total BOD emissions)	Water pollution, metal industry (% of total BOD emissions)	Water pollution, other industry (% of total BOD emissions)	Water pollution, paper and pulp industry (% of total BOD emissions)	Organic water pollutant (BOD) emissions (kg per day)	Water pollution, textile industry (% of total BOD emissions)	Water pollution, wood industry (% of total BOD emissions)	Organic water pollutant (BOD) emissions (kg per day per worker)	Energy production (kt of oil equivalent)	Access to electricity (% of population)	Electricity production from coal sources (kWh)	Electricity production from coal sources (% of total)	Electricity production from oil, gas and coal sources (% of total)	Electricity production from hydroelectric sources (kWh)	Electricity production from hydroelectric sources (% of total)	Electric power transmission and distribution losses (kWh)	Electric power transmission and distribution losses (% of output)	Electricity production from natural gas sources (kWh)	Electricity production from natural gas sources (% of total)	Electricity production from nuclear sources (kWh)	Electricity production from nuclear sources (% of total)	Electricity production from oil sources (kWh)	Electricity production from oil sources (% of total)	Electricity production (kWh)	Electricity production from renewable sources (kWh)	Electricity production from renewable sources, excluding hydroelectric (kWh)	Electricity production from renewable sources, excluding hydroelectric (% of total)	GDP per unit of energy use (PPP $ per kg of oil equivalent)	GDP per unit of energy use (constant 2005 PPP $ per kg of oil equivalent)	Energy imports, net (% of energy use)	Alternative and nuclear energy (% of total energy use)	Fossil fuel energy consumption (% of total)	Energy use (kg of oil equivalent) per $1,000 GDP (constant 2005 PPP)	Energy use (kt of oil equivalent)	Combustible renewables and waste (metric tons of oil equivalent)	Combustible renewables and waste (% of total energy)	Electric power consumption (kWh)	Electric power consumption (kWh per capita)	Energy use (kg of oil equivalent per capita)	CO2 intensity (kg per kg of oil equivalent energy use)	CO2 emissions from gaseous fuel consumption (kt)	CO2 emissions from gaseous fuel consumption (% of total)	CO2 emissions (kg per 2000 US$ of GDP)	CO2 emissions (kt)	CO2 emissions from liquid fuel consumption (kt)	CO2 emissions from liquid fuel consumption (% of total)	CO2 emissions (metric tons per capita)	CO2 emissions (kg per PPP $ of GDP)	CO2 emissions (kg per 2005 PPP $ of GDP)	CO2 emissions from solid fuel consumption (kt)	CO2 emissions from solid fuel consumption (% of total)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	252692.583	NaN	84245000000	16.97632242	20.24483627	3.16206E+11	63.7190932	34563000000	6.964836272	6159000000	1.241108312	77261000000	15.56896725	10061000000	2.027405542	4.9625E+11	3.1852E+11	2314000000	0.466297229	2.219047057	3.419308962	-24.55500985	23.65529111	73.79470612	292.4567541	202876.29	8953.567	4.41331365	4.17813E+11	15736.83616	7641.291525	2.02957557	119217.837	28.95374312	0.817471168	411752.762	182433.25	44.30650304	15.50857861	0.914615832	0.593563083	99111.676	24.07067666	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9814.949	NaN	37000000	0.062930521	1.037503189	34671000000	58.96930011	3551000000	6.03962922	267000000	0.454120248	23003000000	39.12407518	306000000	0.520452419	58795000000	35182000000	511000000	0.869121524	5.944760145	8.941540466	56.29119487	40.06586771	59.89166127	111.8375524	22455.313	822.666	3.663569508	46884000000	7163.214775	3430.855513	1.792567265	3186.623	7.916552792	0.200051059	40252.659	33153.347	82.36312289	6.150039281	0.301537357	0.200476335	1609.813	3.999271203	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7074.463	NaN	1538000000	9.835646224	16.26271024	12823000000	82.00422076	2306000000	14.74707425	241000000	1.541216346	0	0	764000000	4.885847669	15637000000	13094000000	271000000	1.733069003	4.079183991	7.195038071	31.54483254	10.67089511	65.91298983	138.9846711	10334.447	2419.928	23.41613441	13331000000	1064.867365	825.5056143	2.193930744	1653.817	7.294193757	0.689515778	22673.061	14627.663	64.51560731	1.811102147	0.537835692	0.304922743	5236.476	23.09558467	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	785556.699	NaN	3.4303E+11	68.98264524	79.88818951	1.0001E+11	20.11181049	48540000000	9.76129668	2712000000	0.545377763	0	0	51518000000	10.36016651	4.9727E+11	1.0001E+11	0	0	0.893590754	1.37894314	-4.26711137	1.141594017	73.2580839	725.1930636	753407.943	192767.36	25.58605358	4.4998E+11	415.0972985	695.0033375	2.932950935	26622.42	1.204793285	5.977370703	2209708.531	321786.584	14.5623995	2.038410689	3.282208238	2.126955674	1771718.384	80.17882717	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12578.839	NaN	0	0	2.272727273	2451000000	97.72727273	280000000	11.16427432	0	0	0	0	57000000	2.272727273	2508000000	2451000000	0	0	4.196400145	6.475668154	-172.9648301	4.574123627	18.82242346	154.4242194	4608.227	3530.061	76.60345291	2228000000	199.6666248	412.9753733	0.402649869	0	0	0.179319197	1855.502	1855.502	100	0.16628448	0.095951257	0.062178892	3.667	0.197628458	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39552.901	NaN	3034000000	9.632663428	25.63418738	23133000000	73.44509001	7078000000	22.47198146	4743000000	15.05857701	0	0	297000000	0.942946947	31497000000	23423000000	290000000	0.920722609	5.114051052	7.89173968	-75.96737364	8.850834478	67.67035306	126.7147727	22477.406	5271.152	23.45089109	24492000000	783.2216601	718.7976172	2.246133562	7190.987	14.24317257	0.746382356	50487.256	26970.785	53.42097618	1.614515452	0.439208279	0.284618304	12475.134	24.70947124	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0.338817802	58.672	58.672	100	0.144228831	0.178825774	0.115883718	0	0	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0.324970814	80.674	80.674	100	0.240125489	0.282773607	0.183244597	0	0	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1011.414	NaN	0	0	3.925949569	3000000000	95.75486754	0	0	0	0	0	0	123000000	3.925949569	3133000000	3010000000	10000000	0.319182892	6.090372868	9.398349125	43.75633942	14.34710656	42.94339232	106.4016655	1798.272	753.414	41.89655403	3303000000	1162.757951	633.0472496	1.533463236	0	0	0.326308521	2757.584	2467.891	89.49468085	0.970754684	0.251784787	0.163163042	0	0	2
