

1-Month Net Change
Series Id:    SMS01000000600000001

Seasonally Adjusted
State:        Alabama
Area:         Statewide
Supersector:  Goods Producing
Industry:     Goods Producing
Data Type:    All Employees, In Thousands


Series Id,Year,Period,Value
SMS01000000700000001,2000,M11,0.3
SMS01000000700000001,2000,M12,0.4
SMS01000000700000001,2001,M01,-1.7
SMS01000000700000001,2001,M02,3.1
SMS01000000700000001,2001,M03,-2.4
SMS01000000700000001,2001,M04,2.0
SMS01000000700000001,2001,M05,-1.4
SMS01000000700000001,2001,M06,-0.9
SMS01000000700000001,2001,M07,-2.8
SMS01000000700000001,2001,M08,3.0
SMS01000000700000001,2001,M09,-0.4
SMS01000000700000001,2001,M10,-1.2
SMS01000000700000001,2001,M11,-0.4
SMS01000000700000001,2001,M12,0.7
SMS01000000700000001,2002,M01,-5.0
SMS01000000700000001,2002,M02,2.4
SMS01000000700000001,2002,M03,1.2
SMS01000000700000001,2002,M04,1.8
SMS01000000700000001,2002,M05,-2.7
SMS01000000700000001,2002,M06,-1.5
SMS01000000700000001,2002,M07,0.6
SMS01000000700000001,2002,M08,1.0
SMS01000000700000001,2002,M09,4.0
SMS01000000700000001,2002,M10,1.6
SMS01000000700000001,2002,M11,1.2
SMS01000000700000001,2002,M12,-1.4
SMS01000000700000001,2003,M01,0.2
SMS01000000700000001,2003,M02,0.8
SMS01000000700000001,2003,M03,0.4
SMS01000000700000001,2003,M04,1.2
SMS01000000700000001,2003,M05,-0.8
SMS01000000700000001,2003,M06,-3.9
SMS01000000700000001,2003,M07,2.9
SMS01000000700000001,2003,M08,0.5
SMS01000000700000001,2003,M09,3.7
SMS01000000700000001,2003,M10,1.2
SMS01000000700000001,2003,M11,3.6
SMS01000000700000001,2003,M12,-0.8
SMS01000000700000001,2004,M01,6.2
SMS01000000700000001,2004,M02,1.9
SMS01000000700000001,2004,M03,2.2
SMS01000000700000001,2004,M04,4.4
SMS01000000700000001,2004,M05,1.4
SMS01000000700000001,2004,M06,4.3
SMS01000000700000001,2004,M07,2.2
SMS01000000700000001,2004,M08,2.7
SMS01000000700000001,2004,M09,-3.2
SMS01000000700000001,2004,M10,4.2
SMS01000000700000001,2004,M11,3.6
SMS01000000700000001,2004,M12,3.9
SMS01000000700000001,2005,M01,3.9
SMS01000000700000001,2005,M02,2.2
SMS01000000700000001,2005,M03,1.4
SMS01000000700000001,2005,M04,5.0
SMS01000000700000001,2005,M05,2.9
SMS01000000700000001,2005,M06,0.4
SMS01000000700000001,2005,M07,5.6
SMS01000000700000001,2005,M08,3.0
SMS01000000700000001,2005,M09,1.4
SMS01000000700000001,2005,M10,4.0
SMS01000000700000001,2005,M11,3.0
SMS01000000700000001,2005,M12,1.7
SMS01000000700000001,2006,M01,-0.2
SMS01000000700000001,2006,M02,2.0
SMS01000000700000001,2006,M03,4.8
SMS01000000700000001,2006,M04,-0.5
SMS01000000700000001,2006,M05,1.4
SMS01000000700000001,2006,M06,3.7
SMS01000000700000001,2006,M07,-0.5
SMS01000000700000001,2006,M08,5.1
SMS01000000700000001,2006,M09,2.8
SMS01000000700000001,2006,M10,-0.8
SMS01000000700000001,2006,M11,2.5
SMS01000000700000001,2006,M12,3.4
SMS01000000700000001,2007,M01,8.3
SMS01000000700000001,2007,M02,4.3
SMS01000000700000001,2007,M03,4.5
SMS01000000700000001,2007,M04,-4.0
SMS01000000700000001,2007,M05,2.5
SMS01000000700000001,2007,M06,1.5
SMS01000000700000001,2007,M07,-0.4
SMS01000000700000001,2007,M08,3.0
SMS01000000700000001,2007,M09,2.7
SMS01000000700000001,2007,M10,1.0
SMS01000000700000001,2007,M11,1.8
SMS01000000700000001,2007,M12,3.5
SMS01000000700000001,2008,M01,-0.4
SMS01000000700000001,2008,M02,1.4
SMS01000000700000001,2008,M03,-1.5
SMS01000000700000001,2008,M04,2.8
SMS01000000700000001,2008,M05,-2.8
SMS01000000700000001,2008,M06,-2.9
SMS01000000700000001,2008,M07,-1.8
SMS01000000700000001,2008,M08,-1.3
SMS01000000700000001,2008,M09,-2.5
SMS01000000700000001,2008,M10,-4.5
SMS01000000700000001,2008,M11,-8.5
